scenario,objective_value,countries_selected,regions_selected,maximum_region_count,total_opportunity_score,total_infrastructure_score,low_confidence_countries,opportunity_slack,infrastructure_slack
balanced,373.49944526089826,5,4,2,454.4237770031025,347.456774571953,0,154.4237770031025,97.45677457195302
patient_reach,397.6367635685955,5,4,2,454.4237770031025,347.456774571953,0,154.4237770031025,97.45677457195302
execution_readiness,368.79612089232455,5,4,2,454.4237770031025,347.456774571953,0,154.4237770031025,97.45677457195302
competition_averse,361.44708098848304,5,5,1,442.9694228546939,323.2831109478523,0,142.9694228546939,73.28311094785232
