simulation_id,weight_opportunity,weight_infrastructure,weight_competitive_headroom,weight_data_confidence,minimum_opportunity,minimum_infrastructure,objective_value,portfolio_iso3
1,0.3200584079840296,0.2711107584642828,0.1823395583238283,0.2264912752278593,311.24212365092916,248.25063793489815,381.0864306919135,BRA|CHN|IND|MEX|USA
2,0.22065806916788608,0.39512092565861223,0.1909745092754528,0.19324649589804888,277.75111748991077,257.4043923081128,368.99636873637587,BRA|CHN|IND|MEX|USA
3,0.32954357495432746,0.315142859950991,0.24682057459914508,0.10849299049553641,286.8333221573767,258.17895197987957,375.4497779194888,BRA|CHN|IND|MEX|USA
4,0.31339365467954217,0.29039669568263515,0.1808443756869794,0.21536527395084323,274.5952777275856,227.1424420772976,380.07730651364477,BRA|CHN|IND|MEX|USA
5,0.228562420220098,0.37688622456038623,0.19508644591169513,0.19946490930782068,307.80112898238457,265.0651543515269,369.86430221966066,BRA|CHN|IND|MEX|USA
6,0.26581078280604803,0.2826629139120258,0.3089274817093616,0.14259882157256445,305.9040250418222,266.2588360790288,367.02749542145676,BRA|CHN|IND|MEX|USA
7,0.36606925631873893,0.21794718903707122,0.22514470883534107,0.1908388458088487,302.0861419345409,251.58638859333604,382.9795566201143,BRA|CHN|IND|MEX|USA
8,0.2972311582658152,0.2514096209505686,0.3199679748277284,0.13139124595588778,314.9078594317014,251.55411259611222,370.1522339350873,BRA|CHN|IND|RUS|USA
9,0.254766724110885,0.29625443422478465,0.30997135870175735,0.139007482962573,304.3694557650327,250.84445794256632,365.6838432271607,BRA|CHN|IND|MEX|USA
10,0.3373858245414489,0.2571884896767213,0.2509311947087158,0.15449449107311392,314.7093768189122,228.14268179468903,377.6038608393428,BRA|CHN|IND|MEX|USA
11,0.25232676792730346,0.2976669719492749,0.2617725015880365,0.18823375853538504,318.45005740056354,250.0945137570509,369.1280734560413,BRA|CHN|IND|MEX|USA
12,0.29474998293536575,0.2788402237780423,0.26363631338551274,0.16277347990107918,286.0386431569081,237.79676925698755,372.7572131691852,BRA|CHN|IND|MEX|USA
13,0.3098347782530517,0.4053601830831435,0.21270195291113436,0.07210308575267071,326.1148530654445,236.3543638613055,373.64963441561133,BRA|CHN|IND|MEX|USA
14,0.2478920787444954,0.31730554209755474,0.2760800343155773,0.15872234484237258,323.5304656886346,237.94963758994908,367.06970146109006,BRA|CHN|IND|MEX|USA
15,0.23865400779541288,0.3230994710870942,0.22766211448003967,0.21058440663745343,296.3177225047673,255.61438907088097,369.88197657567537,BRA|CHN|IND|MEX|USA
16,0.17664173887307516,0.33121336737621004,0.3343553290687212,0.15778956468199348,302.1631632179413,268.44684094203654,357.2037471738026,BRA|CHN|IND|RUS|USA
17,0.31107107298195813,0.35302722844286666,0.18403228101210964,0.15186941756306563,294.72033496774884,263.68223381235134,377.62632736728824,BRA|CHN|IND|MEX|USA
18,0.43100931365888356,0.24991709767195938,0.15718147237650495,0.16189211629265204,305.22588907494065,236.8951223719079,391.9544618454916,BRA|CHN|IND|MEX|USA
19,0.38675515253790493,0.2863162575957834,0.18750748684808774,0.1394211030182238,308.31078151878046,263.3167541302634,385.16570425948396,BRA|CHN|IND|MEX|USA
20,0.3141255524995753,0.2913155117600428,0.2386198573924423,0.1559390783479396,328.3746319077839,237.70268057637423,375.70055937044066,BRA|CHN|IND|MEX|USA
21,0.3227411892752411,0.3591376830734567,0.2569655370527893,0.061155590598512784,288.3118697608138,272.7558314188426,372.74074057848435,BRA|CHN|IND|MEX|USA
22,0.2799429862618063,0.3540301404142302,0.19954948977861267,0.16647738354535088,315.54738090816755,273.4123599282064,374.0934369147423,BRA|CHN|IND|MEX|USA
23,0.2740913692413802,0.3327648503160093,0.2830711356132601,0.11007264482935034,274.60532264179096,258.60125134766287,367.98589291001326,BRA|CHN|IND|MEX|USA
24,0.33880213911813495,0.2542032963941711,0.20595078459485633,0.20104377989283756,317.4041714278628,262.44095802577783,381.23299464697016,BRA|CHN|IND|MEX|USA
25,0.32814315796268007,0.1524982759328117,0.2682815170683861,0.251077049036122,316.93472100169384,250.52042676765157,378.99563589765086,BRA|CHN|IND|MEX|USA
26,0.3204390238951787,0.2480301125088334,0.1889211393261103,0.24260972426987762,280.9602342481875,243.62622526422064,381.36338024442813,BRA|CHN|IND|MEX|USA
27,0.4006023806929314,0.21873100651076754,0.21537705854448624,0.16528955425181485,274.1150691518662,250.26919914449996,386.2699620535559,BRA|CHN|IND|MEX|USA
28,0.2377666940885133,0.323499554250706,0.2608606343392461,0.1778731173215345,304.6424127824994,237.63571585082153,367.2737975718784,BRA|CHN|IND|MEX|USA
29,0.31515130588252116,0.3391296663983525,0.2312709871527017,0.11444804056642463,328.2292208845866,228.30840252631882,374.7830934546449,BRA|CHN|IND|MEX|USA
30,0.21694274030124752,0.3768861602224653,0.22316776740962033,0.18300333206666675,301.829493157172,239.82384125198567,366.859694075709,BRA|CHN|IND|MEX|USA
31,0.25027660411914504,0.2547788057257103,0.3466019739433686,0.14834261621177616,309.370361833254,233.16618994509793,365.7592189386197,BRA|CHN|IND|RUS|USA
