location_id,facility_key,nct_id,facility_name,city,state,postal_code,country_raw,latitude,longitude
d7f8bf9f4b7121d5ad42,38e034b751a057e8573d,NCT07509307,Frederiksberg Hospital - Parker Institutet (Artrose),Frederiksberg,,2000,Denmark,55.67938,12.53463
3450d35597699da4ebb5,4869d5e7cf1594d384de,NCT07509307,Sanos Clinic - Herlev,Herlev,,2730,Denmark,55.72366,12.43998
24c0ce3ee7c66907ecff,d99b04e8e954800fcf0a,NCT07509307,University General Hospital Attikon General Hospital Of West Attica H Agia Varvara - 2nd dept of Internal medicine,Chaïdári,Attica,12461,Greece,38.01135,23.66597
1c02895dc3bba1e42e85,e35f50058c783a5d8ec6,NCT07509307,Evangelismos S.A. - Endocrinology department,Athens,,10676,Greece,37.98376,23.72784
581d3caefa9d49f45b6f,cf6584b8605b5b28b458,NCT07509307,Laiko General Hospital Of Athens - 1st department of Internal Medicine,Athens,,115 27,Greece,37.98376,23.72784
586bec62d719c18b4ebe,0878173dad52391de363,NCT07509307,Athens Medical Center S.A. (Iatriko Psychikou) - Department of Internal Medicine & Metabolic Diseases,Athens,,11525,Greece,37.98376,23.72784
94c1845156803d3d85bc,91b557c99dd63be190ac,NCT07509307,Athens Medical Center S.A. (Iatriko Athinon) - Diabetes and Obesity Unit,Marousi,,15125,Greece,38.05,23.8
410b7785b0bdcc228999,d8b7cc248298374a4f88,NCT07509307,"NextHealth S.A. - Department of Endocrinology, Metabolism & Diabetes",Thessaloniki,,54635,Greece,40.64072,22.93493
ef5d17bab2632ec1d9d5,249a5bbfe86f2b43666d,NCT07509307,Thermi Clinic S.A. - Diabetes and Internal Medicine Department,Thessaloniki,,57001,Greece,40.64072,22.93493
7a2e59b2523c5a375786,bf7e3b5d6929c90a064b,NCT07509307,Ospedale S. Maria della Misericordia - Reparto Endocrinologia e Malattie del Metabolismo,Udine,Friuli Venezia Giulia,33100,Italy,46.0693,13.23715
cb49430e9bc047ecd2b8,3c69cb539a837cd4800c,NCT07509307,Casa della Salute di Ceccano - Ambulatori Campus Biomedico,Rome,Lazio,00128,Italy,41.89193,12.51133
44781de2dc4f5719c190,b3eadbdc400577e3df73,NCT07509307,Pol. Uni. Campus Biomedico - UOC Endocrinologia e Diabetologia,Rome,Lazio,00128,Italy,41.89193,12.51133
227d35b5500d12e2f280,927e61c3871a5283f071,NCT07509307,Auxologico San Luca - Endocrinologia e Malattie del Metabolismo,Milan,Lombardy,20149,Italy,45.46427,9.18951
efc41c3bde4f6b3f1c79,4fd9be573ed602b30b89,NCT07509307,Ospedale Galeazzi S.p.A. - INCO - Istituto Nazionale per la Cura dell'Obesità,Milan,Lombardy,20157,Italy,45.46427,9.18951
a62419dd9b1acad7e814,7fc052f0bc6b3496378b,NCT07509307,Policlinico San Donato di Milano S.p.A - UOS Endocrinologia e del Servizio di Nutrizione Clinica e Prevenzione Cardiometabolica,San Donato Milanese,Lombardy,20097,Italy,45.41047,9.26838
cd37772442149c13c1a3,0ede5b81a1fec6190e97,NCT07509307,Azienda Ospedaliera Universitaria Integrata Verona - Ospedale Civile Maggiore Borgo Trento - U.O. Reumatologia,Verona,Veneto,37126,Italy,45.43854,10.9938
1fd2ad7923702ccc95ae,e214d269a378968bc1bd,NCT07509307,"""Zdrowie Osteo-Medic"" s.c. Lidia i Artur Racewicz, Agnieszka i Jerzy Supronik",Bialystok,Podlaskie Voivodeship,15-351,Poland,53.13333,23.16433
8b864962fbfa993896ea,cc873f97797ab12ddf07,NCT07509307,"ClinicMed Daniluk, Nowak Spółka Komandytowa",Bialystok,,15-879,Poland,53.13333,23.16433
0485d3a981c68e3a96b2,3830518f1a5adc409cec,NCT07509307,Centrum Medyczne Intercor Sp. z o.o.,Bydgoszcz,,85-605,Poland,53.1235,18.00762
d8f607bd5ed0d4c1a93e,3830518f1a5adc409cec,NCT07509307,Centrum Medyczne Intercor Sp. z o.o.,Bydgoszcz,,85-605,Poland,53.1235,18.00762
c6a33d3e4323ddff313e,4aaae29eb0fcc85a5d80,NCT07509307,CenterMed Kraków Sp. z o.o.,Krakow,,31-530,Poland,50.06143,19.93658
65da33f0e622630b2e0a,4aaae29eb0fcc85a5d80,NCT07509307,CenterMed Kraków Sp. z o.o.,Krakow,,31-530,Poland,50.06143,19.93658
9b52ae751b40447a5408,3b13fc4026824932d655,NCT07509307,Szpital Specjalistyczny im. Ludwika Rydygiera w Krakowie Sp. z o.o.,Krakow,,31-826,Poland,50.06143,19.93658
95bf08de065263af150d,3b13fc4026824932d655,NCT07509307,Szpital Specjalistyczny im. Ludwika Rydygiera w Krakowie Sp. z o.o.,Krakow,,31-826,Poland,50.06143,19.93658
b73ea33dbc0efa97c4ba,fc1754a456b51a4c0fdc,NCT07509307,"Narodowy Instytut Geriatrii, Reumatologii i Rehabilitacji im. prof. dr hab. med. Eleonory Reicher",Warsaw,,02-637,Poland,52.22977,21.01178
e8e44716ba85f3dc97a0,0dcf98bbf824cc0e3637,NCT07509307,Latin Clinical Trial Center Puerto Rico,San Juan,,00909,Puerto Rico,18.46633,-66.10572
1931b1c386367793c97d,b397f505fd5f0022e518,NCT07509307,Instituto Medico Quirurgico San Rafael,A Coruña,,15006,Spain,43.37135,-8.396
5e3f5ca0f0744a89c57f,5bd8ffa916a0159215b8,NCT07509307,Hospital Germans Trias i Pujol,Badalona,,08916,Spain,41.45004,2.24741
00fe86b4d45e0ed317ed,063881291f417ffd2821,NCT07509307,Hospital Naval Ferrol,Ferrol,,15405,Spain,43.48451,-8.23293
be7a1560becc9007cce6,331913385330d08e671f,NCT07509307,Centro Especialidades Hermanos Sangro,Madrid,,28038,Spain,40.4165,-3.70256
f6b594c1bb1f3db5e552,8c3645bbd92fe252e7c1,NCT07509307,Hospital Quirónsalud Málaga,Málaga,,29004,Spain,36.72016,-4.42034
7ea3cfdcc804af86c146,00b965e603c04eec0ad2,NCT07509307,Hospital Infanta Sofía,San Sebastián de Los Reyes (Madrid),,28702,Spain,40.55555,-3.62733
4415fa3e330128978265,dc5f66e054fa7f8b39e1,NCT07509307,Hospital Universitario Marqués de Valdecilla,Santander,,39008,Spain,43.46589,-3.80493
1e39c4c11ad83b594ecd,9b13b281f0ce918f9fb4,NCT07509307,Hospital HM La Esperanza,Santiago de Compostela,,15705,Spain,42.88052,-8.54569
4708c68119b81b87d8c8,8af945b762ec53f6aa93,NCT07509307,Clínica Nuevas Tecnologías en Diabetes y Endocrinología,Seville,,41003,Spain,37.38283,-5.97317
3004cf0f6dc111be515e,b0169b3a0ca5fd070e9e,NCT07509307,H. Infanta Luisa_Endocrino y Obesidad,Seville,,41010,Spain,37.38283,-5.97317
b48b4dcdb0a92874ba1f,5ae8d25dc54bbfd3246d,NCT07509307,Hospital General de Valencia,Valencia,,46014,Spain,39.47391,-0.37966
341d3cae82bec0f811a2,f17101faff892de77fb7,NCT07509307,İstanbul Fizik Tedavi ve Rehabilitasyon Eğitim ve Araştırma Hastanesi,Bahçelievler/İstanbul,,34186,Turkey (Türkiye),,
6579392c2bc210b34429,21df4f00fd6d1448e908,NCT07509307,Ankara Bilkent Şehir Hastanesi- Fizik Tedavi ve Rehabilitasyon,Çankaya/Ankara,,06800,Turkey (Türkiye),,
46210e19003ca9e64a11,6c59919ec1a7397b22f6,NCT07509307,SBÜ Ankara Gaziler Fizik Tedavi Ve Rehabilitasyon Eğitim Ve Araştırma Hastanesi,Çankaya/Ankara,,06800,Turkey (Türkiye),,
83dbe2af1cb1f7d27b32,5d86aa98e4b29050ac2f,NCT07509307,Trakya Üniversitesi Tıp Fakültesi Hastanesi-Fizik Tedavi ve Rehabilitasyon,Edirne,,22030,Turkey (Türkiye),41.67719,26.55597
44955833454793023fe6,800f1416c38d4afef0d6,NCT07509307,Istanbul Üniversitesi- Istanbul Tıp Fakültesi Esnaf Hastanesi Poliklinikleri Fiziksel Tıp Ve Rehabilitasyon Anabilim Dalı,Fatih/İstanbul,,34116,Turkey (Türkiye),,
c5e941e2d3c3670291b5,b29586db985cb089def8,NCT07509307,Adana Şehir Eğitim ve Araştırma Hastanesi-Fizik Tedavi ve Rehabilitasyon,Yuregir/Adana,,01060,Turkey (Türkiye),,
0f5787d211984e5c0f0b,41b63cb3191815949b0f,NCT07509307,Bursa Yüksek İhtisas Eğitim ve Araştırma Hastanesi-Fizik Tedavi ve Rehabilitasyon,Yıldırım/Bursa,,16310,Turkey (Türkiye),,
8b0d28a65ef52100a775,42ca98eeae4c67dd3ea4,NCT01444651,Massachusetts General Hospital,Boston,Massachusetts,,United States,42.35843,-71.05977
695e21dd187d456eebe9,fa314f60a7f3b7866f5e,NCT00546325,Sanofi-Aventis Administrative Office,North Ryde,,,Australia,-33.79677,151.12436
80e0f6e029c443b3642a,b7ca84c40797850adbff,NCT03720574,Bengbu Medical College First Affiliated Hospital,Bengbu,Anhui,233000,China,32.94083,117.36083
2a19caf185cb5eccf0fa,8e9232a353ff174712e0,NCT03720574,Peking University First Hospital,Beijing,Beijing Municipality,100034,China,39.9075,116.39723
870e442569c1aaca1eb1,fb7b3f73ffdeae0a3e73,NCT03720574,The First Affiliated Hospital of Henan University of Science and Technology,Luoyang,Henan,471003,China,34.67345,112.43684
66ebe57ef60fa093493c,006e759030668f080598,NCT03720574,Xiangtan Central Hospital,Xiangtan,Hunan,411100,China,27.85,112.9
