nct_id,condition_name
NCT06597474,Mental Health Wellness
NCT06597474,Emotional Problem
NCT06597474,Behavioral Problem of Child
NCT06597474,Social Skills
NCT06597474,"Obesity, Childhood"
NCT07571109,Obesity
NCT07571109,Overweight
NCT07571109,Obstructive Sleep Apnoea
NCT01833507,Overweight
NCT01833507,Obese
NCT07720271,Overweight
NCT07720271,Obesity
NCT03454711,Obesity
NCT02921217,Obesity
NCT02921217,Intra-Abdominal Fat
NCT02921217,"Subcutaneous Fat, Abdominal"
NCT07501832,Obstructive Sleep Apnea (OSA)
NCT03480022,Pre Diabetes
NCT03480022,Polycystic Ovary Syndrome
NCT03480022,Obesity Android
NCT07220642,Obesity
NCT07220642,Overweight
NCT00459056,Abdominal Obesity
NCT00459056,Hypertension
NCT01120873,Metabolic Syndrome
NCT05813795,Weight Management
NCT00398359,Obesity
NCT03919929,PCOS
NCT03919929,Adolescent Obesity
NCT03919929,NAFLD
NCT05929079,Type 2 Diabetes
NCT05929079,Obesity
NCT05929079,Overweight
NCT05929079,Obstructive Sleep Apnea
NCT05087342,Obesity
NCT05087342,Obesity; Drug
NCT05087342,Overweight or Obesity
NCT05087342,Weight Loss
NCT05087342,Weight Loss Trajectory
NCT05087342,"Weight, Body"
NCT00474630,Obesity
NCT00474630,Overweight
NCT00474630,"Diabetes Mellitus, Type 2"
NCT00603902,Obesity
NCT01559194,Breast Cancer
NCT01559194,Weight Loss
NCT00389246,Obesity
NCT05567796,Obesity
NCT01546727,Obesity
NCT07104383,Weight Loss
NCT03116009,Gestational Diabetes
NCT03946111,Binge-Eating Disorder
NCT03946111,Obesity
NCT04657003,Type 2 Diabetes
NCT04657003,Overweight
NCT04657003,Obesity
NCT00325546,Obesity
NCT01499485,"Pulmonary Disease, Chronic Obstructive"
NCT01499485,Obesity Hypoventilation Syndrome
NCT01499485,Metabolic Alkalosis
NCT03153813,Pain
NCT06937060,Psoriasis (PsO)
NCT06937060,Obesity and Overweight
NCT02373007,Obesity
NCT01707732,Thromboprophylaxis in Hospitalized Obese Patients
NCT06972472,Obesity
NCT06972472,Overweight
NCT06972472,Type 2 Diabetes
NCT03109834,Overweight and Obesity
NCT03109834,Dyslipoproteinemia
NCT07595549,Obesity
NCT07595549,Overweight and/or Obesity
NCT07595549,Overweight
NCT04487743,Obesity
NCT07311850,Obesity and Overweight
NCT05997576,Overweight or Obesity
NCT01211574,Obesity
NCT01003639,Idiopathic Intracranial Hypertension
NCT04325581,Weight Loss
NCT00969267,Obesity
NCT06229795,PreDiabetes
NCT03790865,Prader-Willi Syndrome
NCT03790865,Hyperphagia
NCT00384605,Obesity
NCT07670416,Obesity
NCT07670416,Overweight
NCT07670416,Type 2 Diabetes Mellitus (T2DM)
NCT00483171,Obesity
NCT07564414,Obesity
NCT07564414,Type 2 Diabetes
NCT00092872,Obesity
NCT07509307,Obesity
NCT07509307,Overweight
NCT07509307,"Osteoarthritis, Knee"
NCT01444651,Cardiovascular Disease
NCT01444651,Insulin Resistance
NCT01444651,Glucose Intolerance
NCT01444651,Obesity
NCT00131430,Obesity and Obesity-related Medical Conditions
NCT00546325,"Diabetes Mellitus, Type 2"
NCT03720574,Obesity
NCT02918279,Metabolism and Nutrition Disorder
NCT02918279,Obesity
